text,label
It turned blue colour,milk-3
There is smooth seeds after testing,spice-2
Observation: No blackish-brown flat edged seeds visible.,cereal-2
The sample shows Blue colour forms indicating starch presence.,milk-4
"After the test, blue",milk-4
It looks like Water remains pale yellow; turmeric retains its colour slowly.,spice-14
The food sample shows easy to crush,spice-3
It turned colour on lime,bev-3
I observed lather in the food,milk-2
It turned does not solidify,oil-1
"After the test, Uniform pulse seeds, no foreign beans.",cereal-8
The result indicates No sediment or earthy matter at the bottom.,spice-4
Observation: bottom residue,sweet-2
There is water coloured after testing,cereal-5
"After the test, instant colour",spice-14
We noticed floating material in the sample,cereal-3
"After the test, blue",milk-3
The result indicates grainy surface,spice-13
"After the test, No blue colour; iodine remains yellow-brown.",milk-4
We noticed residue at bottom in the sample,bev-1
It looks like dye in water,spice-5
The food sample shows colour leaches immediately,spice-14
I observed Colour dissolves rapidly and completely in water. in the food,veg-2
"After the test, chalky deposit",sweet-2
We noticed floats in the sample,spice-10
Observation: White chalky sediment settles at the bottom.,sweet-2
The food sample shows Clear solution — salt dissolves completely with no white residue.,spice-9
I observed sediment in the food,spice-1
It looks like powder sinks,bev-2
The result indicates bubbles,milk-2
I observed thick bark in the food,spice-11
It turned dhatura,cereal-2
Observation: Red colour forms indicating turmeric adulteration.,cereal-6
The food sample shows settles,sweet-2
I observed Water remains pale yellow; turmeric retains its colour slowly. in the food,spice-14
The sample shows different seeds,cereal-8
The result indicates lather,milk-2
"After the test, Blue colour appears indicating starch adulteration.",spice-8
There is No clay particles at the bottom after 5 minutes. after testing,bev-1
I observed water turns in the food,cereal-5
The result indicates deep yellow colour,spice-15
The food sample shows color change,cereal-5
"After the test, floating cloves",spice-10
It looks like colour on blotting,veg-3
The sample shows blue,milk-4
I observed Some berries float in alcohol — these are light black berries. in the food,spice-6
I observed No stains on filter paper. No colour streaks. Only slight greenish yellow on lime. in the food,bev-3
We noticed Cotton does not turn green. No colour impression on blotting paper. in the sample,veg-3
I observed dark seeds in the food,cereal-2
"The sample shows Uniform pulse seeds, no foreign beans.",cereal-8
It looks like No blue colour formation.,spice-8
The result indicates sediment,bev-1
Observation: Excess bran particles float on the water surface.,cereal-3
The sample shows Immediate staining of filter paper. Colour streaks on filter paper. Red/orange colour on lime.,bev-3
We noticed soil in the sample,cereal-9
The result indicates colour on lime,bev-3
It turned unusual seeds,cereal-8
The sample shows irregular shape,cereal-4
It looks like cotton absorbs colour,veg-5
I observed deep yellow colour in the food,spice-15
"After the test, Clear solution with no sediment at bottom.",sweet-2
The result indicates All pepper settles at bottom. Brown wrinkled peppercorns with pungent smell.,spice-2
The food sample shows Blue colour formation indicates presence of starch.,milk-3
We noticed No blue colour — indicates common salt being sold as iodised. in the sample,veg-1
"After the test, white inside",spice-13
I observed red in the food,oil-2
The food sample shows does not roll,spice-11
"After the test, red color",cereal-6
It turned Solution turns white and insoluble matter settles at bottom.,spice-9
The result indicates chalky deposit,sweet-2
I observed cotton absorbs colour in the food,cereal-7
"After the test, Bright yellow colour immediately leaches into water.",spice-14
Observation: dye transfer,cereal-7
"After the test, sediment",spice-1
It looks like intense yellow,spice-15
I observed Immediate red colour formation indicates TOCP. in the food,oil-2
The sample shows No red colour formation.,oil-2
There is No red colour formation when lime is applied. after testing,cereal-6
We noticed stains paper in the sample,bev-3
It looks like Colour dissolves rapidly and completely in water.,veg-2
It turned No blue colour; iodine remains yellow-brown.,milk-4
I observed Colour streaks descend immediately through the water. in the food,spice-5
The food sample shows Coffee powder floats on water.,bev-2
Observation: square seeds,cereal-4
Observation: Chilli powder settles at bottom; no floating material.,spice-7
It looks like green water,veg-4
"The result indicates No visible impurities — clean, uniform grains.",cereal-1
The sample shows dye in water,veg-4
"The sample shows Uniform-shaped dal seeds, no edged/square irregular shapes.",cereal-4
There is black seeds after testing,spice-13
It turned Coffee powder floats on water.,bev-2
It looks like pink on cotton,veg-5
It looks like rough texture,spice-11
The food sample shows floating material,cereal-3
I observed Soap stone or earthy matter settles at the bottom. in the food,spice-4
Observation: lather,milk-2
"After the test, Clear solution with no sediment at bottom.",sweet-2
The sample shows black seeds,spice-13
It looks like crushes easily,spice-3
I observed floats on top in the food,spice-7
It turned different seeds,cereal-8
I observed edged seeds in the food,cereal-4
"After the test, colour on cotton",cereal-7
We noticed Milk flows immediately without leaving any mark. in the sample,milk-1
I observed partial sinking in the food,bev-2
"After the test, cotton absorbs colour",veg-5
I observed hard bark in the food,spice-11
The sample shows does not solidify,oil-1
We noticed square seeds in the sample,cereal-4
"After the test, black residue",spice-12
It looks like not solidified fully,oil-1
The food sample shows turns red,oil-2
We noticed thick bark in the sample,spice-11
We noticed sediment in the sample,spice-1
It turned wood particles,spice-7
The result indicates no blue color,veg-1
It turned turns blue,spice-8
It turned floats on top,spice-2
The food sample shows water turns,cereal-5
There is A liquid layer of other oils remains separate on top or bottom. after testing,oil-1
Observation: floats on surface,spice-16
"After the test, edged seeds",cereal-4
"Observation: Flat, edged, blackish-brown dhatura seeds visible among grains.",cereal-2
The result indicates Blue colour formation indicates presence of starch.,milk-3
There is black on hands after testing,spice-12
The result indicates rough texture,spice-11
The result indicates Very thin foam layer forms on shaking.,milk-2
Observation: Saw dust particles float on water surface.,spice-7
I observed gritty in the food,cereal-9
The sample shows Some powder sinks — the sinking portion is chicory.,bev-2
"After the test, blue color",milk-4
We noticed Water remains clear after half an hour. in the sample,veg-4
The result indicates lumps,cereal-9
The sample shows rough texture,spice-11
I observed colour on lime in the food,bev-3
Observation: No red colour formation when lime is applied.,cereal-6
It looks like floats in alcohol,spice-6
"The result indicates Strong, intense yellow colour left in water.",spice-15
The food sample shows grainy surface,spice-13
We noticed Water remains pale yellow; turmeric retains its colour slowly. in the sample,spice-14
Observation: clay at bottom,bev-1
Observation: Some berries break easily — these are light black berries (adulterant).,spice-3
It looks like turns red,cereal-6
The sample shows cloves on surface,spice-10
"The food sample shows Edged, square-shaped khesari dal seeds visible.",cereal-4
"After the test, Chilli powder floats without releasing colour streaks into water.",spice-5
The sample shows sediment,bev-1
It looks like blue color,spice-8
"After the test, stains filter paper",bev-3
The food sample shows multilayer,spice-11
"There is Thin, smooth bark that rolls easily like paper around a pencil with a sweet distinct smell. after testing",spice-11
I observed black seeds in the food,spice-13
The sample shows no blue color,veg-1
It turned sand,cereal-9
Observation: rodent,cereal-1
The result indicates cloudy,oil-3
It looks like No excess bran floating on water surface.,cereal-3
The sample shows particles float,spice-16
The food sample shows No blue colour formation.,spice-8
The result indicates liquid layer,oil-1
The food sample shows cotton turns green,veg-3
"After the test, turns blue",milk-3
It looks like gritty residue,spice-4
Observation: turns blue,milk-4
There is white inside after testing,spice-13
I observed green dye transfer in the food,veg-3
There is easy to crush after testing,spice-3
It turned Crumbles to powder on crushing. Burns to glistening balls.,sweet-3
Observation: floating material,spice-16
The sample shows foreign matter,cereal-1
Observation: floats,spice-10
The result indicates gritty,cereal-9
The sample shows Clear solution with no sediment at bottom.,sweet-2
There is immediate colour after testing,spice-14
Observation: Chakunda beans visible — identifiable by distinct shape and colour.,cereal-8
The food sample shows green water,veg-4
We noticed colour on lime in the sample,bev-3
It looks like rough seeds,spice-13
The sample shows does not burn,spice-1
It turned magnet picks up,bev-4
The sample shows white,oil-3
The result indicates grey ash,sweet-3
It turned filings on magnet,bev-4
We noticed floats in the sample,spice-10
Observation: Chilli powder floats without releasing colour streaks into water.,spice-5
We noticed dye in water in the sample,veg-4
"There is Uniform-shaped dal seeds, no edged/square irregular shapes. after testing",cereal-4
Observation: particles float,spice-16
"After the test, particles float",spice-16
The sample shows dye in water,veg-4
The food sample shows turns blue,spice-8
The sample shows blue colour,spice-8
The result indicates Water remains clear after half an hour.,veg-4
It turned palms turn black,spice-12
We noticed blackish brown seeds in the sample,cereal-2
There is Some powder sinks — the sinking portion is chicory. after testing,bev-2
Observation: lumps,cereal-9
It looks like bright yellow water,spice-14
Observation: black residue,spice-12
The food sample shows turns black,spice-12
Observation: water turns green,veg-4
The result indicates sediment,sweet-2
The result indicates different seeds,cereal-8
The food sample shows stains paper,bev-3
The food sample shows floating cloves,spice-10
"There is Thin, smooth bark that rolls easily like paper around a pencil with a sweet distinct smell. after testing",spice-11
Observation: palms turn black,spice-12
There is Palms turn black from charcoal dust on adulterated grass seeds. after testing,spice-12
We noticed turns red in the sample,oil-2
We noticed water mark in the sample,milk-1
We noticed White chalky sediment settles at the bottom. in the sample,sweet-2
"The food sample shows Dense, persistent lather forms on shaking.",milk-2
The result indicates streaks,spice-5
Observation: Cloves sink to the bottom.,spice-10
The food sample shows seeds floating,spice-2
"After the test, Oil becomes turbid or cloudy — improperly winterized.",oil-3
It looks like dye in water,spice-5
It looks like red colour,cereal-6
It turned bubbles,milk-2
I observed foam formed in the food,milk-2
There is floating in spirit after testing,spice-6
The sample shows blue colour,spice-8
The food sample shows bright yellow water,spice-14
The sample shows hazy,oil-3
The result indicates colour streaks,bev-3
We noticed Immediate red colour formation indicates TOCP. in the sample,oil-2
It turned All pepper sinks in alcohol.,spice-6
Observation: cotton absorbs colour,cereal-7
The result indicates impurities,cereal-1
There is turns red after testing,oil-2
The result indicates floats on top,spice-7
Observation: colour in water,cereal-5
It turned cotton turns green,veg-3
The food sample shows white residue,sweet-2
The sample shows flat seeds,cereal-2
The result indicates turns blue,milk-4
I observed Chilli powder settles at bottom; no floating material. in the food,spice-7
It looks like bottom residue,sweet-2
"After the test, Cloves sink to the bottom.",spice-10
It turned soft berries,spice-3
There is Colour dissolves rapidly and completely in water. after testing,veg-2
The food sample shows colour streaks,spice-5
It looks like particles settle,bev-1
Observation: Saffron slowly and continuously releases natural colour.,veg-2
"I observed Thin, smooth bark that rolls easily like paper around a pencil with a sweet distinct smell. in the food",spice-11
"After the test, irregular shape",cereal-4
It turned color bleeding,spice-5
The result indicates two layers,oil-1
The result indicates cracking sound,sweet-1
The food sample shows shreds,sweet-3
I observed edged seeds in the food,cereal-4
Observation: Exhausted cloves float on water surface.,spice-10
The food sample shows irregular shape,cereal-4
The sample shows floating in spirit,spice-6
Observation: immediate stain,bev-3
The food sample shows dark residue,spice-1
It looks like No stains on filter paper. No colour streaks. Only slight greenish yellow on lime.,bev-3
It turned Nothing floats on water surface after sprinkling.,spice-16
We noticed instant colour in the sample,spice-14
Observation: All pepper sinks in alcohol.,spice-6
I observed Cotton does not turn green. No colour impression on blotting paper. in the food,veg-3
It turned floats in alcohol,spice-6
Observation: seeds floating,spice-2
There is colour on cotton after testing,cereal-7
We noticed Cotton absorbs pink/red colour indicating rhodamine B. in the sample,veg-5
"I observed Sand, soil, insects, webs, lumps, or rodent hair visible. in the food",cereal-9
"After the test, does not burn",spice-1
The sample shows foam formed,milk-2
I observed stains filter paper in the food,bev-3
The result indicates Saw dust particles float on water surface.,spice-7
"After the test, dense lather",milk-2
It looks like spreads,sweet-1
"There is Thin, smooth bark that rolls easily like paper around a pencil with a sweet distinct smell. after testing",spice-11
We noticed sediment in the sample,sweet-2
"After the test, pink color",cereal-7
It looks like smooth seeds,spice-2
"After the test, water mark",milk-1
It turned white solution,spice-9
We noticed cloves on surface in the sample,spice-10
We noticed Solution turns white and insoluble matter settles at bottom. in the sample,spice-9
The sample shows hard bark,spice-11
It turned no trail,milk-1
Observation: turns red,oil-2
The result indicates easy to crush,spice-3
The result indicates colour streaks,spice-5
It looks like Colour separates and water turns green.,veg-4
The food sample shows foreign matter,cereal-1
There is excess floating after testing,cereal-3
There is No stains on filter paper. No colour streaks. Only slight greenish yellow on lime. after testing,bev-3
I observed Water remains clear after half an hour. in the food,veg-4
We noticed soil in the sample,cereal-9
There is insects after testing,cereal-1
"Observation: Thin, smooth bark that rolls easily like paper around a pencil with a sweet distinct smell.",spice-11
The result indicates colour in water,cereal-5
It looks like Cotton absorbs pink/red colour from ragi surface.,cereal-7
"The sample shows Light, pale yellow colour while settling — normal turmeric colour.",spice-15
The result indicates Blue colour appears indicating starch adulteration.,spice-8
It looks like red colour,oil-2
We noticed Some powder sinks — the sinking portion is chicory. in the sample,bev-2
"After the test, Water becomes coloured immediately.",cereal-5
The food sample shows Blue colour forms indicating starch presence.,milk-4
The result indicates Solution turns white and insoluble matter settles at bottom.,spice-9
"After the test, No excess bran floating on water surface.",cereal-3
The food sample shows colour descending,spice-5
Observation: flows fast,milk-1
We noticed float in the sample,spice-2
"Observation: Light, pale yellow colour while settling — normal turmeric colour.",spice-15
The food sample shows colour streaks,bev-3
The sample shows palms turn black,spice-12
It looks like red color,cereal-6
It looks like immediate colour,spice-14
The food sample shows bran floating,cereal-3
Observation: foam formed,milk-2
It turned hazy,oil-3
I observed bright yellow in the food,spice-15
"After the test, does not dissolve",spice-1
Observation: No colour change (remains yellow/brown of iodine).,milk-3
I observed sand in the food,cereal-9
It turned Water remains clear after half an hour.,veg-4
"After the test, rapid colour release",veg-2
The result indicates sinks,bev-2
It looks like Oil becomes turbid or cloudy — improperly winterized.,oil-3
The food sample shows Soap stone or earthy matter settles at the bottom.,spice-4
We noticed Water becomes coloured immediately. in the sample,cereal-5
The food sample shows Some seeds with rough/grainy black surface that show white inside when pressed.,spice-13
Observation: crushes easily,spice-3
It looks like particles settle,bev-1
The result indicates colour on cotton,cereal-7
There is Clay/mud particles settle at the bottom. after testing,bev-1
There is Water remains pale yellow; turmeric retains its colour slowly. after testing,spice-14
The result indicates seeds floating,spice-2
I observed Some powder sinks — the sinking portion is chicory. in the food,bev-2
It turned floating material,cereal-3
It turned earthy matter,spice-4
There is Cotton does not turn green. No colour impression on blotting paper. after testing,veg-3
"After the test, floats in alcohol",spice-6
It looks like blue color,spice-8
Observation: flows immediately,milk-1
The sample shows Blue colour formation indicates presence of starch.,milk-3
There is white solution after testing,spice-9
I observed pink on cotton in the food,veg-5
The sample shows two layers,oil-1
I observed Cotton does not turn green. No colour impression on blotting paper. in the food,veg-3
The result indicates cracking sound,sweet-1
"After the test, Oil remains brilliant, clear and limpid after 5.5 hours in ice.",oil-3
The sample shows instant colour,veg-2
It looks like doesn't powder,sweet-3
It turned Some berries float in alcohol — these are light black berries.,spice-6
Observation: square seeds,cereal-4
I observed Clear solution — salt dissolves completely with no white residue. in the food,spice-9
It turned mixes,sweet-1
The sample shows foam formed,milk-2
There is Iron filings stick to the magnet. after testing,bev-4
The sample shows rodent,cereal-1
The food sample shows colour dissolves fast,veg-2
Observation: flows fast,milk-1
"After the test, All pepper settles at bottom. Brown wrinkled peppercorns with pungent smell.",spice-2
It looks like dissolves,sweet-1
"After the test, Exhausted cloves float on water surface.",spice-10
Observation: floating material,spice-16
It turned blue color,milk-4
We noticed clay at bottom in the sample,bev-1
The food sample shows turns black,spice-12
We noticed settles in the sample,spice-9
It looks like Chilli powder settles at bottom; no floating material.,spice-7
The food sample shows does not dissolve,spice-1
We noticed square seeds in the sample,cereal-4
We noticed blue colour in the sample,milk-4
It looks like foreign matter,cereal-1
It turned floats,spice-6
It turned iodine blue,milk-3
The food sample shows does not solidify,oil-1
The result indicates cotton absorbs colour,cereal-7
There is instant colour after testing,veg-2
The sample shows Cotton does not absorb any colour.,veg-5
There is not clear after testing,oil-3
It turned liquid layer,oil-1
The result indicates Water remains clear — no colour released.,cereal-5
We noticed red on cotton in the sample,veg-5
There is breaks easily after testing,spice-3
I observed red color in the food,oil-2
I observed mixes in the food,sweet-1
The sample shows colour leaches immediately,spice-14
We noticed Red colour forms indicating turmeric adulteration. in the sample,cereal-6
The result indicates no colour change,veg-1
It looks like colour transfer,veg-5
It looks like does not solidify,oil-1
I observed blackish brown seeds in the food,cereal-2
Observation: Saw dust particles float on water surface.,spice-7
There is partial sinking after testing,bev-2
It turned pink on cotton,veg-5
The result indicates Only breaks into shreds. Burns to grey ash.,sweet-3
The result indicates streaks,spice-5
I observed colour dissolves fast in the food,veg-2
The sample shows sinks,bev-2
The result indicates cloves on surface,spice-10
"The sample shows Light, pale yellow colour while settling — normal turmeric colour.",spice-15
The result indicates Milk stays or flows slowly leaving a white trail.,milk-1
The food sample shows does not roll,spice-11
I observed turbid in the food,oil-3
I observed deep yellow colour in the food,spice-15
There is not clear after testing,oil-3
"After the test, oval seeds",spice-2
"After the test, Honey settles at bottom without dispersing. Burns cleanly when lit.",sweet-1
We noticed turns black in the sample,spice-12
I observed attracted to magnet in the food,bev-4
I observed no mark in the food,milk-1
I observed sediment in the food,bev-1
We noticed cotton turns green in the sample,veg-3
I observed thick bark in the food,spice-11
The sample shows Saw dust or powdered bran floats on water surface.,spice-16
"After the test, blackish brown seeds",cereal-2
I observed Palms remain clean — no black colour transfer. in the food,spice-12
We noticed floats in the sample,spice-6
The result indicates No red colour formation.,oil-2
There is settles at bottom after testing,spice-4
Observation: Very thin foam layer forms on shaking.,milk-2
It turned green dye transfer,veg-3
It turned multilayer,spice-11
It looks like All pepper sinks in alcohol.,spice-6
"The result indicates All seeds smooth, yellow inside when pressed.",spice-13
"After the test, rough texture",spice-11
I observed No colour change (remains yellow/brown of iodine). in the food,milk-3
We noticed oval seeds in the sample,spice-2
The result indicates remains white,veg-1
The food sample shows immediate stain,bev-3
The result indicates float,spice-2
I observed no trail in the food,milk-1
I observed chicory sinks in the food,bev-2
Observation: blue colour,spice-8
We noticed no bright flame in the sample,spice-1
It looks like Colour streaks descend immediately through the water.,spice-5
"After the test, stones",cereal-1
"After the test, blue color",spice-8
The result indicates Blue colour appears indicating starch adulteration.,spice-8
It looks like oval seeds,spice-2
The result indicates No sediment or earthy matter at the bottom.,spice-4
It looks like dirt,cereal-1
Observation: settles,sweet-2
Observation: dhatura,cereal-2
The result indicates Immediate red colour formation indicates TOCP.,oil-2
There is dense lather after testing,milk-2
There is foreign beans after testing,cereal-8
"After the test, turns red",cereal-6
The result indicates floating particles,spice-7
The result indicates rough texture,spice-11
I observed clay at bottom in the food,bev-1
We noticed Berries do not break easily when pressed. in the sample,spice-3
"After the test, cloudy",oil-3
Observation: Some berries break easily — these are light black berries (adulterant).,spice-3
The food sample shows dye in water,veg-4
"After the test, Blue colour develops — confirms iodised salt.",veg-1
There is does not burn after testing,sweet-1
I observed Saw dust or powdered bran floats on water surface. in the food,spice-16
The sample shows thick foam,milk-2
The sample shows Excess bran particles float on the water surface.,cereal-3
I observed cracking sound in the food,sweet-1
"We noticed Dense, persistent lather forms on shaking. in the sample",milk-2
The food sample shows Saffron slowly and continuously releases natural colour.,veg-2
We noticed Cotton does not absorb any colour. in the sample,veg-5
The result indicates earthy matter,spice-4
The result indicates turns black,spice-12
We noticed does not burn in the sample,sweet-1
I observed multilayer in the food,spice-11
"After the test, floats on top",spice-2
I observed Some berries break easily — these are light black berries (adulterant). in the food,spice-3
The food sample shows Water remains clear — no colour released.,cereal-5
We noticed cracking sound in the sample,sweet-1
It turned bright yellow,spice-15
There is immediate colour after testing,spice-14
The sample shows easy to crush,spice-3
Observation: Coconut oil solidifies completely — no separate layer visible.,oil-1
We noticed particles floating in the sample,cereal-3
"The result indicates Thick, multi-layered, rough bark that does not roll easily.",spice-11
It turned insoluble,spice-9
Observation: No blue colour — indicates common salt being sold as iodised.,veg-1
I observed bubbles in the food,milk-2
"After the test, Clear solution with no sediment at bottom.",sweet-2
"It looks like Oil remains brilliant, clear and limpid after 5.5 hours in ice.",oil-3
Observation: floats on top,spice-2
Observation: white inside,spice-13
"The food sample shows Oil remains brilliant, clear and limpid after 5.5 hours in ice.",oil-3
The sample shows separate layer,oil-1
There is clay at bottom after testing,bev-1
We noticed webs in the sample,cereal-9
The sample shows chicory sinks,bev-2
It turned bright yellow,spice-15
There is Cotton absorbs pink/red colour from ragi surface. after testing,cereal-7
"After the test, Exhausted cloves float on water surface.",spice-10
We noticed water mark in the sample,milk-1
There is red after testing,oil-2
I observed White chalky sediment settles at the bottom. in the food,sweet-2
We noticed turns red in the sample,cereal-6
There is Cotton turns green OR blotting paper shows colour impression. after testing,veg-3
I observed turns blue in the food,milk-4
The result indicates no bright flame,spice-1
It turned colour streaks,bev-3
The result indicates bottom residue,sweet-2
"After the test, cloves on surface",spice-10
Observation: Coconut oil solidifies completely — no separate layer visible.,oil-1
The food sample shows Cotton turns green OR blotting paper shows colour impression.,veg-3
It turned Seeds float on water. Smooth oval greenish-brown seeds with repulsive flavour.,spice-2
Observation: colour on blotting,veg-3
Observation: smooth seeds,spice-2
There is white residue after testing,sweet-2
The sample shows no blue colour,veg-1
We noticed no colour change in the sample,veg-1
We noticed Palms remain clean — no black colour transfer. in the sample,spice-12
"After the test, color change",cereal-5
The sample shows colour transfer,veg-5
"After the test, smooth seeds",spice-2
I observed strong yellow in the food,spice-15
The sample shows Does not burn brightly. Sediment settles at bottom when dissolved in water.,spice-1
Observation: bottom residue,sweet-2
"After the test, green water",veg-4
The result indicates Immediate staining of filter paper. Colour streaks on filter paper. Red/orange colour on lime.,bev-3
There is water coloured after testing,cereal-5
Observation: grey ash,sweet-3
The food sample shows blue,milk-3
We noticed Cotton does not absorb any colour. in the sample,cereal-7
"After the test, liquid layer",oil-1
"After the test, magnet picks up",bev-4
"After the test, dye released",cereal-5
I observed does not crumble in the food,sweet-3
I observed Seeds float on water. Smooth oval greenish-brown seeds with repulsive flavour. in the food,spice-2
There is powder sinks after testing,bev-2
I observed Cotton absorbs pink/red colour from ragi surface. in the food,cereal-7
It looks like Blue colour develops — confirms iodised salt.,veg-1
Observation: turns red,cereal-6
We noticed Blue colour appears indicating starch adulteration. in the sample,spice-8
We noticed flows immediately in the sample,milk-1
The result indicates dye in water,spice-5
"After the test, not solidified fully",oil-1
The result indicates Bright yellow colour immediately leaches into water.,spice-14
It turned bright yellow,spice-15
Observation: particles floating,cereal-3
The result indicates intense yellow,spice-15
I observed No red colour formation when lime is applied. in the food,cereal-6
Observation: mixes,sweet-1
Observation: white residue,spice-9
There is dye transfer after testing,cereal-7
I observed Red colour forms indicating turmeric adulteration. in the food,cereal-6
"After the test, clay at bottom",bev-1
It turned soil,cereal-9
I observed float in the food,spice-2
The food sample shows palms turn black,spice-12
It looks like pink color,cereal-7
The result indicates color bleeding,spice-5
"After the test, no trail",milk-1
I observed particles floating in the food,cereal-3
The result indicates cloudy,oil-3
There is No red colour formation when lime is applied. after testing,cereal-6
It looks like blackish brown seeds,cereal-2
"After the test, red color",oil-2
There is instant colour after testing,spice-14
Observation: not solidified fully,oil-1
The sample shows Colour dissolves rapidly and completely in water.,veg-2
The food sample shows floating particles,spice-7
